ImageId,EncodedPixels
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,9217 2 9473 3 9729 4 9985 4 10241 4 10497 4 10753 4 11009 4 11265 3 11521 3 11777 2 12033 2
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,14850 5 15105 8 15114 2 15361 12 15617 12 15873 12 16129 12 16386 11 16643 9
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,23553 2 23809 3 24065 4 24321 5 24577 5 24833 5 25089 5 25345 5 25601 5 25857 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,36098 3 36353 8 36609 9 36865 10 37121 10 37377 10 37633 10 37889 9 38146 7 38402 6 38661 2
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,55297 4 55553 9 55809 11 56065 12 56321 12 56577 13 56833 13 57089 12 57345 11 57601 11 57857 9 58113 9 58370 7
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,31243 5 31498 7 31754 9 32009 10 32265 11 32521 11 32772 17 33028 17 33283 20 33539 22 33795 23 34050 24 34307 23 34563 23 34819 23 35076 4 35083 15 35341 2 35348 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,4870 5 5125 10 5136 2 5380 16 5636 17 5892 17 6148 17 6404 17 6661 15 6919 10 7178 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,11279 1 11533 4 11788 6 12040 1 12043 7 12294 11 12549 12 12805 12 13061 12 13317 12 13573 13 13834 8 14092 6 14349 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,27148 2 27403 5 27658 6 27914 6 28169 7 28425 7 28681 8 28937 9 29193 9 29449 8 29704 9 29961 7 30218 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,16146 3 16400 8 16655 10 16910 12 17164 15 17420 15 17675 16 17931 16 18187 16 18443 16 18699 15 18956 13 19213 12 19469 11 19727 7 19986 1
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,48401 4 48655 8 48910 10 49166 12 49421 13 49677 14 49933 14 50189 14 50445 14 50701 13 50957 13 51214 11 51470 11 51727 9 51985 6 52242 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,23323 1 23575 7 23830 9 24085 10 24341 9 24597 10 24854 9 25110 9 25365 10 25618 12 25873 12 26129 11 26385 12 26642 11 26898 12 27154 12 27411 11 27667 11 27924 10 28181 8 28438 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,8215 4 8470 6 8726 6 8981 6 9236 9 9492 9 9748 9 10004 9 10260 8 10516 8 10772 8 11029 12 11287 11 11543 12 11798 13 12054 14 12310 14 12566 14 12823 12 13079 12 13336 10 13593 7
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,26 12 281 14 536 15 791 16 1047 17 1302 17 1558 17 1814 16 2071 14 2327 13 2584 11 2840 9 3097 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,54303 3 54558 5 54813 7 55069 8 55324 9 55580 9 55836 9 56092 9 56348 9 56604 9 56859 11 57115 14 57372 14 57628 17 57884 18 58141 17 58399 15 58656 14 58913 12 59168 12 59424 11 59681 9 59937 8 60194 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,34080 4 34336 5 34592 7 34847 9 35101 11 35356 12 35612 12 35868 12 36125 11 36381 11 36637 10 36894 9 37151 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,7199 3 7454 5 7710 6 7966 6 8221 6 8477 6 8734 5 8990 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,17703 7 17957 10 18212 12 18467 13 18723 14 18978 15 19234 15 19489 16 19745 16 20001 15 20257 15 20514 13 20770 12 21027 10 21284 8 21543 1
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,43045 5 43298 9 43554 10 43809 12 44065 12 44321 13 44577 13 44834 11 45091 10 45348 8 45606 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,2853 3 3108 6 3363 7 3619 8 3875 8 4131 7 4388 6 4645 5 4902 5 5158 5 5414 5 5670 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,60207 1 60459 7 60713 10 60968 12 61224 12 61480 12 61736 12 61992 12 62248 12 62505 11 62761 10 63018 8 63274 7 63527 6 63782 9 64037 11 64293 12 64549 12 64805 13 65062 12 65319 11
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,54060 5 54314 8 54568 10 54823 12 55079 12 55335 12 55592 11 55848 10 56105 8 56362 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,36909 2 37163 8 37418 11 37673 13 37929 14 38185 15 38441 16 38697 17 38953 17 39210 16 39466 16 39723 15 39979 14 40236 13 40494 10 40752 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,21554 5 21808 8 22063 10 22319 11 22574 12 22829 13 23084 14 23340 14 23596 14 23852 13 24108 12 24365 10 24622 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,6963 6 7218 8 7473 10 7728 12 7984 13 8240 14 8495 16 8752 15 9008 15 9264 15 9521 14 9777 14 10034 13 10291 11 10548 9 10805 7
