ImageId,EncodedPixels
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,41435 6 41690 9 41946 10 42202 11 42457 12 42713 13 42969 13 43226 13 43482 13 43738 13 43995 12 44251 12 44508 11 44765 10 45022 7
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,30161 4 30415 8 30670 10 30925 12 31180 14 31436 15 31692 15 31948 15 32205 14 32461 13 32718 12 32975 10 33232 7
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,8287 7 8541 10 8795 13 9050 14 9305 15 9561 15 9816 16 10072 16 10328 16 10584 16 10841 14 11097 13 11353 11 11610 8 11866 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,13923 9 14177 12 14432 14 14687 16 14942 17 15198 17 15454 17 15710 17 15966 16 16222 15 16478 15 16735 13 16991 11 17249 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,22379 5 22632 11 22887 13 23142 15 23398 15 23654 15 23910 15 24166 15 24422 15 24678 15 24935 13 25192 11 25449 8 25707 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,29820 3 30074 7 30329 9 30585 10 30840 12 31096 12 31352 13 31609 12 31865 12 32121 12 32378 10 32635 9 32892 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,32099 2 32353 6 32608 8 32863 10 33119 10 33374 12 33630 12 33886 12 34143 11 34399 11 34655 11 34911 11 35168 9 35425 8 35682 6 35940 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,20884 6 21139 11 21395 12 21650 14 21906 15 22162 15 22418 16 22675 15 22931 15 23187 15 23444 14 23700 14 23956 14 24213 13 24470 11 24727 9 24985 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,28213 6 28468 9 28724 11 28979 13 29235 14 29491 14 29746 16 30002 16 30258 17 30514 17 30770 17 31026 17 31283 16 31539 16 31796 14 32054 12 32311 10 32570 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,56981 11 57235 15 57490 17 57745 19 58001 19 58256 21 58512 22 58768 22 59024 22 59280 22 59536 22 59792 22 60049 21 60305 20 60562 19 60819 17 61077 15 61335 12 61593 9 61850 7
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,63738 3 63992 8 64246 10 64501 11 64756 12 65012 12 65268 12 65524 12
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,20710 4 20964 8 21220 10 21475 12 21731 13 21987 13 22244 12 22500 12 22757 11 23014 10 23271 9 23528 8 23786 5 24044 2
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,38303 5 38556 10 38809 14 39064 16 39319 18 39574 19 39830 20 40085 21 40340 23 40596 23 40851 24 41107 24 41363 25 41620 23 41876 23 42132 23 42388 23 42645 21 42902 19 43159 17 43417 14 43675 9
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,16190 4 16445 7 16700 9 16956 10 17211 11 17467 12 17723 12 17980 12 18236 12 18492 12 18749 11 19006 10 19262 10 19519 9 19776 7 20035 1
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,7418 5 7671 8 7923 12 8177 14 8432 15 8687 16 8942 16 9198 13 9453 11 9709 9 9965 7 10222 2
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,63526 8 63781 10 64037 11 64292 12 64548 13 64804 13 65060 13 65317 12
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,36649 5 36904 9 37159 12 37415 14 37671 15 37927 16 38184 16 38440 17 38696 17 38952 17 39209 16 39465 16 39722 15 39978 14 40236 12 40493 10 40753 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,48399 6 48654 9 48909 11 49164 13 49420 14 49676 14 49932 14 50188 14 50444 14 50700 14 50957 12 51213 12 51470 10 51726 9 51984 6 52242 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,17447 4 17701 9 17956 11 18211 12 18466 14 18721 15 18977 15 19233 15 19489 15 19745 15 20001 15 20258 13 20514 12 20771 9 21028 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,14809 3 15063 7 15318 9 15573 11 15829 11 16085 12 16341 12 16597 12 16853 12 17109 12 17365 11 17622 9 17881 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,50494 7 50749 9 51004 10 51259 12 51515 13 51771 13 52027 13 52283 13 52539 13 52796 11 53053 10 53310 8 53569 2
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,24142 7 24397 9 24652 11 24908 11 25164 12 25420 12 25677 11 25933 11 26190 10 26447 9 26704 7 26961 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,42786 7 43041 10 43296 12 43552 12 43808 13 44064 13 44320 13 44577 12 44833 12 45090 10 45348 7 45607 2
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,8267 5 8522 7 8778 7 9033 9 9288 10 9544 10 9799 11 10055 11 10311 11 10567 11 10823 10 11079 10 11335 10 11591 9 11847 8 12104 6 12362 2
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,15888 5 16142 9 16397 11 16652 13 16908 13 17163 15 17419 15 17675 15 17931 15 18187 14 18443 14 18699 13 18956 12 19213 10 19470 8 19728 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,36097 4 36353 8 36609 9 36865 9 37121 9 37377 9 37633 9 37889 8 38145 7 38401 7 38658 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,26 11 280 14 535 15 791 15 1046 16 1302 16 1558 16 1814 16 2071 14 2327 13 2583 11 2840 8
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,30628 7 30880 12 31135 14 31391 14 31646 15 31902 15 32158 15 32415 13 32672 11 32929 8
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,21297 5 21552 7 21807 9 22062 10 22317 12 22572 13 22828 13 23084 13 23340 12 23596 12 23852 11 24109 8
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,27079 5 27334 8 27589 10 27845 11 28101 11 28357 11 28613 10 28870 8 29127 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,26531 6 26786 7 27042 8 27297 9 27553 10 27809 10 28066 9 28322 8 28580 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,340 4 594 7 849 9 1106 9 1362 10 1618 10 1875 9 2132 7 2390 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,60204 5 60459 7 60714 9 60969 10 61224 11 61480 11 61736 11 61992 11 62249 10 62505 10 62762 8 63021 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,8899 4 9155 5 9410 7 9665 8 9920 9 10175 10 10431 10 10687 10 10943 10 11200 8 11457 4
