ImageId,EncodedPixels
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,41691 7 41946 9 42202 10 42457 12 42713 13 42969 14 43225 14 43482 14 43738 14 43994 14 44251 13 44508 12 44764 11 45022 9 45280 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,56727 7 56980 13 57234 16 57489 18 57745 19 58000 20 58256 21 58512 21 58768 21 59024 21 59280 21 59536 21 59792 21 60049 20 60305 19 60562 18 60819 16 61077 14 61335 11 61593 8 61850 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,63992 8 64246 10 64501 11 64756 12 65012 12 65267 13
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,7417 6 7670 9 7923 12 8177 14 8432 15 8687 16 8942 16 9198 14 9454 11 9710 9 9966 7 10223 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,22378 8 22632 12 22887 14 23142 15 23398 16 23654 16 23910 16 24166 16 24422 15 24679 14 24935 13 25192 11 25449 8 25708 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,16446 5 16701 7 16957 8 17212 10 17468 10 17724 11 17980 11 18237 10 18493 11 18750 10 19006 10 19263 8 19520 7 19777 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,38304 4 38557 9 38810 13 39064 16 39319 18 39575 18 39830 20 40085 21 40341 22 40596 23 40852 23 41108 23 41364 23 41620 23 41876 23 42132 23 42388 23 42645 21 42902 19 43159 17 43416 15 43674 11
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,13924 9 14178 12 14432 15 14687 16 14943 16 15198 18 15454 17 15710 17 15966 17 16222 16 16478 16 16735 14 16991 12 17249 8
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,32353 7 32608 9 32864 10 33119 11 33375 11 33631 11 33887 12 34143 12 34399 12 34655 11 34912 10 35168 10 35425 8 35682 7 35939 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,29820 3 30074 7 30329 9 30585 10 30840 12 31096 13 31352 13 31609 12 31865 12 32121 12 32378 11 32635 9 32892 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,8288 6 8541 11 8795 13 9050 15 9305 16 9560 17 9816 17 10072 17 10328 17 10584 16 10840 15 11096 14 11353 11 11609 9 11866 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,28213 6 28468 9 28723 11 28979 13 29235 13 29490 15 29746 16 30002 16 30258 16 30514 16 30770 16 31026 17 31282 16 31539 15 31796 14 32053 12 32311 9 32570 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,48145 2 48399 7 48654 9 48909 11 49165 12 49421 13 49677 13 49933 13 50189 13 50445 12 50701 12 50958 10 51214 10 51471 8 51728 7 51985 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,30161 3 30415 8 30670 10 30925 12 31181 13 31436 15 31692 15 31948 15 32205 14 32461 13 32718 12 32975 9 33233 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,20709 7 20964 9 21219 11 21475 12 21731 12 21988 12 22244 12 22501 11 22757 11 23014 10 23271 9 23528 7 23786 5 24044 2
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,36650 4 36904 9 37159 12 37415 14 37671 15 37928 16 38184 17 38440 17 38696 17 38952 18 39209 17 39465 17 39722 15 39979 14 40236 12 40495 8
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,20629 4 20884 7 21139 11 21395 13 21651 13 21907 14 22163 14 22419 15 22675 15 22931 15 23188 14 23444 14 23700 14 23957 13 24213 13 24470 11 24727 10 24985 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,63526 8 63781 10 64037 11 64292 13 64548 13 64804 13 65060 14 65317 13
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,17446 7 17701 9 17956 10 18211 12 18466 13 18722 14 18977 15 19233 15 19489 15 19745 15 20001 14 20257 14 20514 12 20770 11 21027 9 21285 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,16143 7 16397 11 16652 13 16907 15 17163 15 17418 16 17674 16 17930 16 18186 16 18443 14 18699 14 18956 12 19212 11 19470 8 19728 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,8268 4 8522 7 8777 9 9033 9 9288 11 9544 11 9799 12 10055 12 10311 12 10567 11 10822 12 11079 10 11335 10 11591 9 11847 7 12105 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,50494 6 50749 8 51004 10 51259 12 51515 12 51770 13 52026 14 52282 14 52539 12 52795 12 53052 11 53310 8 53568 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,14810 2 15064 6 15318 9 15574 10 15830 11 16085 12 16341 12 16597 12 16853 13 17109 12 17366 11 17622 10 17879 8
