ImageId,EncodedPixels
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,41436 5 41691 7 41946 9 42201 11 42457 12 42713 13 42969 13 43225 14 43481 14 43738 14 43994 14 44251 13 44507 13 44764 11 45021 9 45279 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,63739 2 63992 8 64246 10 64501 11 64756 12 65012 12 65267 13
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,30162 1 30416 7 30671 9 30926 11 31181 13 31437 13 31693 14 31949 14 32205 14 32461 13 32717 13 32974 11 33231 9 33490 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,38301 9 38555 12 38809 15 39064 17 39319 18 39574 20 39829 21 40085 22 40340 23 40596 23 40852 23 41108 23 41364 24 41620 24 41876 23 42132 23 42389 22 42646 20 42903 18 43160 16 43418 13 43678 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,56980 12 57234 16 57489 18 57745 19 58000 21 58256 21 58512 21 58768 22 59024 22 59280 22 59536 22 59792 21 60048 21 60305 20 60562 19 60819 17 61076 16 61334 13 61592 10 61850 7
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,26824 2 27079 6 27334 8 27590 9 27846 9 28102 9 28358 9 28614 9 28870 8 29127 6
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,15065 4 15320 6 15575 8 15831 9 16086 10 16342 10 16597 12 16853 12 17109 11 17365 11 17622 9 17880 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,36906 8 37160 12 37416 14 37672 15 37928 16 38184 17 38440 17 38696 18 38952 18 39208 18 39465 17 39721 17 39978 15 40235 14 40493 10
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,32098 4 32353 7 32608 8 32863 10 33119 10 33375 11 33631 11 33887 11 34143 11 34399 11 34655 11 34912 10 35168 9 35425 8 35682 6 35941 1
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,29819 4 30074 7 30329 9 30585 10 30840 12 31096 12 31352 13 31609 12 31865 12 32121 12 32378 10 32635 9 32892 7 33150 3
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,13923 9 14178 12 14432 14 14688 15 14943 16 15199 16 15455 16 15711 16 15966 16 16222 15 16479 14 16735 13 16992 10 17249 7
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,26276 4 26531 6 26786 8 27041 9 27297 10 27553 10 27809 10 28066 9 28322 8 28580 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,20884 8 21140 10 21395 12 21651 14 21907 14 22163 15 22419 15 22675 16 22931 16 23187 16 23444 15 23700 15 23957 14 24214 12 24470 11 24728 8 24985 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,16190 4 16445 7 16700 9 16956 9 17212 10 17468 10 17724 11 17980 11 18236 12 18492 12 18749 11 19005 11 19262 10 19519 9 19775 8 20033 5
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,48400 4 48654 8 48910 10 49165 12 49421 13 49677 13 49932 14 50189 13 50445 13 50701 12 50957 12 51214 10 51471 8 51728 6 51985 4
fe9adb627a6f45747c5a8223b671774791ededf9364f6544be487c540107fa4f,50494 5 50749 8 51004 10 51259 12 51515 12 51770 13 52026 14 52282 14 52539 12 52795 12 53052 11 53310 8 53568 4
